line,selector,risk,props,comment
1937,.menu-item,size-vh/%,display: flex align-items: center width: 100% gap: 12px padding: 12px 14px border-radius: var(--radius-medium) color: var(--color-text) background: var(--color-surface-soft),要確認。線路外なら見えづらさの原因候補。
2028,".form-field select, .form-field input[type=""number""], .station-name-input",size-vh/%,width: 100% min-height: 50px padding: 10px 13px border: 1px solid var(--color-border) border-radius: var(--radius-small) color: var(--color-text) background: #ffffff,線路内の進行表現として許容。ただし親高さに依存。
2250,.radio-card input,position,position: absolute top: 7px left: 7px,要確認。線路外なら見えづらさの原因候補。
2272,.radio-track-preview::before,position,"position: absolute content: """"",要確認。線路外なら見えづらさの原因候補。
2277,.radio-track-preview i,position,position: absolute display: block width: 8px height: 8px border: 2px solid #ffffff border-radius: 50% background: var(--color-primary) box-shadow: 0 0 0 1px var(--color-primary),要確認。線路外なら見えづらさの原因候補。
2371,.switch-slider,position,position: absolute inset: 0 border-radius: 999px background: #c8d3db,要確認。線路外なら見えづらさの原因候補。
2378,.switch-slider::before,position,"position: absolute top: 4px left: 4px width: 24px height: 24px border-radius: 50% background: #ffffff box-shadow: 0 2px 5px rgba(36, 56, 70, 0.25)",要確認。線路外なら見えづらさの原因候補。
2396,".apply-button, .cancel-button",size-vh/%,width: 100% min-height: 54px border-radius: var(--radius-medium) font-weight: 800,要確認。線路外なら見えづらさの原因候補。
2424,.visually-hidden,position / !important,"position: absolute !important width: 1px !important height: 1px !important padding: 0 !important overflow: hidden !important clip: rect(0, 0, 0, 0) !important white-space: nowrap !important border: 0 !important",要確認。線路外なら見えづらさの原因候補。
2452,.railway-track--vertical .station,size-vh/%,width: 66%,線路内の進行表現として許容。ただし親高さに依存。
2488,.summary-card,position,grid-column: 2 grid-row: 1 / span 2 position: sticky top: calc(var(--header-height) + 24px),要確認。線路外なら見えづらさの原因候補。
2556,/* ========================================================= 第8段階：アクセシビリティ・PWA・情報表示 ========================================================= */ .skip-link,position,position: fixed z-index: 300 top: 8px left: 8px padding: 10px 14px border-radius: 10px color: #ffffff background: #173f61,要確認。線路外なら見えづらさの原因候補。
2653,.volume-control input,size-vh/%,width: 100%,要確認。線路外なら見えづらさの原因候補。
2684,.offline-toast,position,"position: fixed z-index: 240 right: 12px bottom: calc(12px + var(--safe-bottom)) max-width: min(360px, calc(100vw - 24px)) padding: 11px 14px border-radius: 12px color: #fff",要確認。線路外なら見えづらさの原因候補。
2697,.pwa-actions,size-vh/%,width: 100% justify-items: stretch,要確認。線路外なら見えづらさの原因候補。
2769,.timer-card--hero::before,position,"position: absolute z-index: -1 right: -34px bottom: -38px width: 130px height: 130px border-radius: 50% background: rgba(79, 163, 111, 0.07)",要確認。線路外なら見えづらさの原因候補。
2884,.mobile-bottom-nav,position,"position: fixed z-index: 70 right: max(10px, env(safe-area-inset-right)) bottom: max(8px, env(safe-area-inset-bottom)) left: max(10px, env(safe-area-inset-left)) display: grid grid-template-columns: repeat(4, minmax(0, 1fr)) gap: 4px",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
2987,.summary-card,size-vh/%,min-height: 100%,要確認。線路外なら見えづらさの原因候補。
3070,body::before,position,"position: fixed z-index: -1 top: 84px right: -85px width: 220px height: 220px border: 1px solid rgba(24, 183, 180, 0.08) border-radius: 50%",要確認。線路外なら見えづらさの原因候補。
3662,/* Header */ .app-shell,size-vh/%,"width: min(100%, 1120px)",要確認。線路外なら見えづらさの原因候補。
4037,.journey-status-item::before,position,"position: absolute top: 0 bottom: 0 left: 0 width: 5px content: """" background: var(--route-blue)",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
4105,.segment-overview-list::before,position,"position: absolute top: 14px bottom: 14px left: 8px width: 4px border-radius: 3px content: """" background: var(--route-blue)",要確認。線路外なら見えづらさの原因候補。
4126,.segment-overview-item::before,position,"position: absolute top: 17px left: -17px width: 12px height: 12px border: 3px solid #ffffff border-radius: 50% content: """"",要確認。線路外なら見えづらさの原因候補。
4415,".mobile-nav-item.is-active::before, .mobile-nav-item[aria-current=""page""]::before",position,"position: absolute top: 0 right: 0 left: 0 height: 3px content: """" background: #e6002d",要確認。線路外なら見えづらさの原因候補。
4547,"/* スタートからゴールまでの線路を一画面内に収める */ .railway-preview, .railway-track, .station-list, .track-segment-list",size-vh/%,max-width: 100%,線路内の進行表現として許容。ただし親高さに依存。
4559,".railway-track--horizontal, .railway-track--vertical, .railway-track--circle",size-vh/%,max-width: 100%,線路内表示だが、残り時間や通知は重なり確認が必要。
4574,.railway-preview--vertical,size-vh/%,"min-height: min(470px, calc(100dvh - 180px))",要確認。線路外なら見えづらさの原因候補。
4578,.railway-track--vertical,size-vh/%,"height: min(432px, calc(100dvh - 218px)) min-height: 340px",線路内表示だが、残り時間や通知は重なり確認が必要。
4583,.railway-preview--circle,size-vh/%,"min-height: min(382px, calc(100dvh - 190px))",要確認。線路外なら見えづらさの原因候補。
4587,.railway-track--circle,size-vh/%,"width: min(100%, 336px, calc(100dvh - 224px)) height: min(336px, calc(100dvh - 224px)) min-width: 278px min-height: 278px",線路内表示だが、残り時間や通知は重なり確認が必要。
4671,.circle-remaining-time-stack,size-vh/%,display: grid gap: 6px width: 100%,要確認。線路外なら見えづらさの原因候補。
4724,#pageTimer .railway-card,position,grid-column: 2 grid-row: 1 position: sticky top: 14px,要確認。線路外なら見えづらさの原因候補。
4822,body.page-timer-active,size-vh/%,height: 100svh overflow: hidden,要確認。線路外なら見えづらさの原因候補。
4827,body.page-timer-active .app-shell,size-vh/%,height: 100svh overflow: hidden,要確認。線路外なら見えづらさの原因候補。
4832,body.page-timer-active .main-content,size-vh/%,height: calc(100svh - var(--compact-header-height)) padding: 7px 8px calc(var(--compact-nav-height) + 10px + var(--safe-bottom)) overflow: hidden,要確認。線路外なら見えづらさの原因候補。
4838,#pageTimer.app-page.is-active,size-vh/%,"display: grid grid-template-rows: auto minmax(0, 1fr) auto gap: 7px height: 100% min-height: 0 overflow: hidden",要確認。線路外なら見えづらさの原因候補。
4926,#pageTimer .railway-preview,size-vh/% / !important,min-height: 0 !important height: 100% padding: 4px 5px overflow: hidden,要確認。線路外なら見えづらさの原因候補。
4933,#pageTimer .railway-track--horizontal,size-vh/%,height: 100% min-height: 150px padding-right: 25px padding-left: 25px,線路内表示だが、残り時間や通知は重なり確認が必要。
4946,#pageTimer .railway-track--vertical,size-vh/%,"width: min(100%, 360px) height: 100% min-height: 195px max-height: none",線路内表示だが、残り時間や通知は重なり確認が必要。
4953,#pageTimer .railway-track--circle,size-vh/%,"width: min(68vw, 270px) height: min(68vw, 270px) max-width: 100% max-height: 100% margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
5060,#pageTimer .time-addition-history-card:not([hidden]),position,position: fixed z-index: 82 right: 8px bottom: calc(var(--compact-nav-height) + 12px + var(--safe-bottom)) left: 8px max-height: 125px margin: 0 padding: 8px,要確認。線路外なら見えづらさの原因候補。
5085,#pageTimer .undo-time-button,size-vh/%,width: 100%,要確認。線路外なら見えづらさの原因候補。
5152,"#pageTimer .railway-track--horizontal .track-bed, #pageTimer .railway-track--horizontal .track-segment-list",pos-%,top: 43%,線路内の進行表現として許容。ただし親高さに依存。
5156,#pageTimer .railway-track--horizontal .station,pos-%,top: calc(43% - 10px),線路内の進行表現として許容。ただし親高さに依存。
5160,#pageTimer .railway-track--horizontal .train-position,pos-%,top: calc(43% - 48px),線路内の進行表現として許容。ただし親高さに依存。
5165,/* ========================================================= 案2：線路主役・時間を線路内に統合 ========================================================= */ .timer-card--source,position / !important,position: fixed !important top: -10000px !important left: -10000px !important width: 1px !important height: 1px !important padding: 0 !important overflow: hidden !important border: 0 !important,要確認。線路外なら見えづらさの原因候補。
5315,#pageTimer .railway-preview,size-vh/% / !important,grid-row: 2 min-height: 0 !important height: 100%,要確認。線路外なら見えづらさの原因候補。
5507,"html, body",size-vh/%,min-height: 100% overscroll-behavior-y: contain,要確認。線路外なら見えづらさの原因候補。
5513,.app-shell,size-vh/%,min-height: 100dvh,要確認。線路外なら見えづらさの原因候補。
5582,"body.page-timer-active, body.page-timer-active .app-shell",size-vh/%,height: 100dvh min-height: 100dvh,要確認。線路外なら見えづらさの原因候補。
5588,body.page-timer-active .main-content,size-vh/%,"height: calc(100dvh - var(--compact-header-height)) padding-right: max(8px, env(safe-area-inset-right)) padding-bottom: calc(var(--compact-nav-height) + 10px + env(safe-area-inset-bottom)) padding-left: max(8px, env(safe-area-inset-left))",要確認。線路外なら見えづらさの原因候補。
5605,#pageTimer .railway-preview,!important,min-height: 0 !important,要確認。線路外なら見えづらさの原因候補。
5609,#pageTimer .railway-track--horizontal,size-vh/%,"min-height: clamp(210px, 31dvh, 275px)",線路内表示だが、残り時間や通知は重なり確認が必要。
5613,#pageTimer .railway-track--vertical,size-vh/%,"min-height: clamp(245px, 38dvh, 330px)",線路内表示だが、残り時間や通知は重なり確認が必要。
5617,#pageTimer .railway-track--circle,size-vh/%,"width: min(72vw, 310px, 39dvh) height: min(72vw, 310px, 39dvh)",線路内表示だが、残り時間や通知は重なり確認が必要。
5635,#pageTimer .route-time-panel,size-vh/%,max-width: calc(100% - 28px),線路内表示だが、残り時間や通知は重なり確認が必要。
5664,#pageTimer .railway-track--circle,size-vh/%,"width: min(66vw, 245px, 35dvh) height: min(66vw, 245px, 35dvh)",線路内表示だが、残り時間や通知は重なり確認が必要。
5702,#pageTimer .railway-track--circle,size-vh/%,"width: min(76vw, 325px, 40dvh) height: min(76vw, 325px, 40dvh)",線路内表示だが、残り時間や通知は重なり確認が必要。
5711,.app-shell,size-vh/%,"width: min(100%, 820px)",要確認。線路外なら見えづらさの原因候補。
5718,.mobile-bottom-nav,!important,"display: grid !important right: max(16px, env(safe-area-inset-right)) bottom: max(12px, env(safe-area-inset-bottom)) left: max(16px, env(safe-area-inset-left)) max-width: 680px margin: 0 auto",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
5758,#pageTimer .timer-actions-card,size-vh/%,"width: min(100%, 560px) margin: 0 auto",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
5771,.app-shell,size-vh/%,"width: min(100%, 1120px)",要確認。線路外なら見えづらさの原因候補。
5795,#pageTimer .timer-actions-card,position / size-vh/%,grid-area: actions position: sticky top: 78px width: 100%,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
5827,.app-shell,size-vh/%,"width: min(100%, 1280px)",要確認。線路外なら見えづらさの原因候補。
5851,#pageTimer .timer-actions-card,position,grid-area: actions position: sticky top: 86px,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
5952,.route-editor-actions,position,"position: sticky z-index: 5 bottom: calc(68px + env(safe-area-inset-bottom, 0px)) display: grid grid-template-columns: minmax(0, 0.8fr) minmax(0, 1.2fr) gap: 10px padding: 12px border: 1px solid var(--color-border)",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
5984,.route-editor-actions,size-vh/%,"bottom: 18px width: min(560px, 100%) margin-left: auto",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
6002,#pageEdit .summary-card,position,position: sticky top: 76px,要確認。線路外なら見えづらさの原因候補。
6035,#pageTimer .railway-card,!important,"display: grid !important grid-template-rows: auto minmax(0, 1fr) auto !important min-height: 0 !important overflow: hidden !important",要確認。線路外なら見えづらさの原因候補。
6047,#pageTimer .railway-preview,size-vh/% / !important,grid-row: 2 min-height: 0 !important height: 100% !important overflow: hidden !important,要確認。線路外なら見えづらさの原因候補。
6064,"/* 全端末でタイマーページだけはビューポート内に収める。 */ body.page-timer-active, body.page-timer-active .app-shell",size-vh/%,height: 100dvh min-height: 100dvh overflow: hidden,要確認。線路外なら見えづらさの原因候補。
6082,/* ヘッダーの赤帯はPCでも画面幅いっぱいにする。 */ body.page-timer-active .app-shell,size-vh/%,width: 100% max-width: none,要確認。線路外なら見えづらさの原因候補。
6088,body.page-timer-active .main-content,size-vh/%,"width: min(100%, 1240px) margin-right: auto margin-left: auto",要確認。線路外なら見えづらさの原因候補。
6103,.app-header,!important,"min-height: var(--ideal-header-height) !important height: var(--ideal-header-height) padding: max(7px, env(safe-area-inset-top))
      max(7px, env(safe-area-inset-right))
      7px
      max(7px, env(safe-area-inset-left))",要確認。線路外なら見えづらさの原因候補。
6125,body.page-timer-active .main-content,size-vh/%,"height: calc(100dvh - var(--ideal-header-height)) padding: 7px
      max(7px, env(safe-area-inset-right))
      calc(var(--ideal-bottom-nav-height) + 9px + env(safe-area-inset-bottom))
      max(7px, env(safe-area-inset-left))",要確認。線路外なら見えづらさの原因候補。
6133,#pageTimer.app-page.is-active,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) grid-template-rows: minmax(0, 1fr) auto gap: 8px height: 100%",要確認。線路外なら見えづらさの原因候補。
6165,"#pageTimer .railway-track--horizontal, #pageTimer .railway-track--vertical",size-vh/% / !important,height: 100% !important min-height: 0 !important,線路内表示だが、残り時間や通知は重なり確認が必要。
6176,"#pageTimer .railway-track--horizontal .track-bed, #pageTimer .railway-track--horizontal .track-segment-list",pos-%,top: 43% right: 27px left: 27px,線路内の進行表現として許容。ただし親高さに依存。
6183,#pageTimer .railway-track--horizontal .station,pos-%,top: calc(43% - 10px),線路内の進行表現として許容。ただし親高さに依存。
6187,#pageTimer .railway-track--horizontal .train-position,pos-%,top: calc(43% - 48px),線路内の進行表現として許容。ただし親高さに依存。
6191,#pageTimer .railway-track--vertical,size-vh/%,"width: min(100%, 365px)",線路内表示だが、残り時間や通知は重なり確認が必要。
6195,#pageTimer .railway-track--circle,size-vh/%,"width: min(76vw, 320px, 40dvh) height: min(76vw, 320px, 40dvh) margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
6213,#pageTimer .route-time-panel.is-double,size-vh/%,"min-width: min(184px, calc(100% - 24px))",線路内表示だが、残り時間や通知は重なり確認が必要。
6310,.app-header,!important,min-height: var(--ideal-header-height) !important height: var(--ideal-header-height),要確認。線路外なら見えづらさの原因候補。
6348,#pageTimer .railway-track--circle,size-vh/%,"width: min(70vw, 260px, 36dvh) height: min(70vw, 260px, 36dvh)",線路内表示だが、残り時間や通知は重なり確認が必要。
6373,.app-header,!important,"min-height: var(--ideal-tablet-header-height) !important height: var(--ideal-tablet-header-height) padding-right: max(12px, env(safe-area-inset-right)) padding-left: max(12px, env(safe-area-inset-left))",要確認。線路外なら見えづらさの原因候補。
6380,body.page-timer-active .main-content,size-vh/%,"height: calc(100dvh - var(--ideal-tablet-header-height)) padding: 10px
      max(16px, env(safe-area-inset-right))
      calc(var(--ideal-tablet-nav-height) + 12px + env(safe-area-inset-bottom))
      max(16px, env(safe-area-inset-left))",要確認。線路外なら見えづらさの原因候補。
6388,#pageTimer.app-page.is-active,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) grid-template-rows: minmax(0, 1fr) auto gap: 10px width: min(100%, 760px) height: 100% margin: 0 auto",要確認。線路外なら見えづらさの原因候補。
6409,"#pageTimer .railway-track--horizontal, #pageTimer .railway-track--vertical",size-vh/% / !important,height: 100% !important min-height: 0 !important,線路内表示だが、残り時間や通知は重なり確認が必要。
6415,"#pageTimer .railway-track--horizontal .track-bed, #pageTimer .railway-track--horizontal .track-segment-list",pos-%,top: 43%,線路内の進行表現として許容。ただし親高さに依存。
6420,#pageTimer .railway-track--horizontal .station,pos-%,top: calc(43% - 10px),線路内の進行表現として許容。ただし親高さに依存。
6424,#pageTimer .railway-track--horizontal .train-position,pos-%,top: calc(43% - 52px),線路内の進行表現として許容。ただし親高さに依存。
6428,#pageTimer .railway-track--circle,size-vh/%,"width: min(58vw, 470px, 49dvh) height: min(58vw, 470px, 49dvh) margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
6449,#pageTimer .timer-actions-card,size-vh/%,"width: min(100%, 640px) margin: 0 auto padding: 0 border: 0 background: transparent box-shadow: none",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
6480,.mobile-bottom-nav,size-vh/% / !important,"display: grid !important right: max(18px, env(safe-area-inset-right)) bottom: max(8px, env(safe-area-inset-bottom)) left: max(18px, env(safe-area-inset-left)) width: min(720px, calc(100% - 36px)) min-height: var(--ideal-tablet-nav-height) height: var(--ideal-tablet-nav-height) margin: 0 auto",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
6504,.app-header,!important,min-height: var(--ideal-wide-header-height) !important height: var(--ideal-wide-header-height),要確認。線路外なら見えづらさの原因候補。
6509,body.page-timer-active .main-content,size-vh/%,height: calc(100dvh - var(--ideal-wide-header-height)) padding: 14px 18px 16px,要確認。線路外なら見えづらさの原因候補。
6514,#pageTimer.app-page.is-active,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) minmax(300px, 350px) grid-template-rows: minmax(0, 1fr) grid-template-areas: ""route actions"" gap: 18px width: 100% height: 100%",要確認。線路外なら見えづらさの原因候補。
6524,#pageTimer .railway-card,size-vh/% / !important,"grid-area: route grid-template-rows: 44px minmax(0, 1fr) 64px !important gap: 9px height: 100% padding: 10px",要確認。線路外なら見えづらさの原因候補。
6532,"#pageTimer .railway-track--horizontal, #pageTimer .railway-track--vertical",size-vh/% / !important,height: 100% !important min-height: 0 !important,線路内表示だが、残り時間や通知は重なり確認が必要。
6538,#pageTimer .railway-track--circle,size-vh/%,"width: min(44vw, 460px, 60dvh) height: min(44vw, 460px, 60dvh) margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
6554,#pageTimer .timer-actions-card,size-vh/%,grid-area: actions position: static align-self: start width: 100% padding: 12px,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
6575,.app-header,!important,min-height: var(--ideal-pc-header-height) !important height: var(--ideal-pc-header-height),要確認。線路外なら見えづらさの原因候補。
6580,body.page-timer-active .main-content,size-vh/%,height: calc(100dvh - var(--ideal-pc-header-height)) padding: 18px 24px 20px,要確認。線路外なら見えづらさの原因候補。
6585,#pageTimer.app-page.is-active,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) 380px grid-template-rows: minmax(0, 1fr) grid-template-areas: ""route actions"" gap: 24px width: min(100%, 1180px) height: 100% margin: 0 auto",要確認。線路外なら見えづらさの原因候補。
6596,#pageTimer .railway-card,size-vh/% / !important,"grid-area: route grid-template-rows: 46px minmax(0, 1fr) 66px !important gap: 10px height: 100% padding: 12px",要確認。線路外なら見えづらさの原因候補。
6604,"#pageTimer .railway-track--horizontal, #pageTimer .railway-track--vertical",size-vh/% / !important,height: 100% !important min-height: 0 !important,線路内表示だが、残り時間や通知は重なり確認が必要。
6610,#pageTimer .railway-track--circle,size-vh/%,"width: min(38vw, 500px, 62dvh) height: min(38vw, 500px, 62dvh) margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
6626,#pageTimer .timer-actions-card,size-vh/%,grid-area: actions position: static align-self: start width: 100% padding: 12px,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
6643,"#pageTimer .railway-track--horizontal .track-bed, #pageTimer .railway-track--horizontal .track-segment-list",pos-% / !important,"top: var(--rail-y, 43%) !important",線路内の進行表現として許容。ただし親高さに依存。
6647,#pageTimer .railway-track--horizontal .station,pos-% / !important,"top: calc(var(--rail-y, 43%) - 10px) !important",線路内の進行表現として許容。ただし親高さに依存。
6651,#pageTimer .railway-track--horizontal .train-position,pos-% / !important,"top: calc(var(--rail-y, 43%) - 48px) !important",線路内の進行表現として許容。ただし親高さに依存。
6663,#pageTimer .railway-card,size-vh/% / !important,height: 100% !important align-self: stretch !important,要確認。線路外なら見えづらさの原因候補。
6941,.active-train-add-button,size-vh/%,display: inline-flex align-items: center justify-content: center gap: 8px min-height: 46px width: 100% padding: 9px 12px border: 1px solid #e6002d,要確認。線路外なら見えづらさの原因候補。
7004,.active-train-progress > span,size-vh/%,"display: block min-width: 2px height: 100% border-radius: inherit background: linear-gradient(90deg, #e6002d, #0877bd) transition: width 180ms linear",要確認。線路外なら見えづらさの原因候補。
7076,.create-train-panel,position / size-vh/%,"position: fixed z-index: 102 right: 0 bottom: 0 left: 0 max-height: min(94vh, 860px) padding: 10px 18px calc(22px + var(--safe-bottom)) overflow-y: auto",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
7192,.create-train-actions,position,"position: sticky bottom: 0 z-index: 1 margin: 0 -4px padding: 12px 4px 2px border-top: 1px solid rgba(226, 229, 232, 0.86) background: linear-gradient(180deg, rgba(255,255,255,0.75), #ffffff 38%)",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
7207,.create-train-panel,size-vh/%,"right: max(24px, calc((100vw - 780px) / 2)) left: max(24px, calc((100vw - 780px) / 2)) border-radius: 26px bottom: 24px max-height: min(88vh, 820px)",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
